"Date","Record Number","Record Type","Project Name","Status","Description","Short Notes",
"12/30/2016","2016-016621PRJ","Project Profile (PRJ)","3437 FILLMORE ST","Application Accepted","4 STORY REMODEL OF 2 UNITS BLDG(INCL ELECT.)G/F:(N)KITCHEN;(REM BATH(N)STAIRS TO 2/F;(N) FIRE RATED CORRIDOR TO YARD,(N)FRONT DOOR; 2/F:RELOCATE KITCHEN,REMOVE CEILING@LIVING RM,(REM BATHS,REPLACE WINDOWS IN KIND(N) STAIRS.3/F: REMOVE KITCHEN,(REM BATHS,REPLACE WINDOWS IN KIND(N) LAUNDRY;",,
"12/30/2016","2016-016622PRJ","Project Profile (PRJ)","334 SWEENY ST","On Hold","EXTEND (E) HOME TO THE REAR. DEVELOP HABITABLE SPACE ON GROUND FLOOR. ADD 2 BATHROOMS. REMODEL (E) BATH & KITCHEN. ADD NEW BEDROOM, FAMILY ROOM & LAUNDRY IN 1ST FLOOR.",,
"12/30/2016","2016-016623PRJ","Project Profile (PRJ)","19 RALEIGH ST","Closed","ADDITION OF + 200 SF.AT THE REAR OF THE HOME, 1ST FLR REMODEL OF (E) STORAGE TO ACCOMMODATE 2 BEDROOMS, 2 BATHROOMS, LAUNDRY, OFFICE, CLOSETS, (N) STAIR TO BE CONSTRUCTED BTWN 1ST & 2ND FLR INFILLING (E) LIGHT WELL,(N) DECK @ 2ND FLR OVER (N) 1ST FL ADDITION W/SPIRAL STAIR TO REAR YARD",,
"12/30/2016","2016-016625PRJ","Project Profile (PRJ)","425 HOLLY PARK CIR","Under Review","ALTERED SITE - REVISE TO APPLN #201009130710: REMODEL 1/F REMODEL 1/F; REPLACE (E) BATH & ADD 1 BEDRM;NEW STAIR FROM 1ST TO 2/F; REMODEL 2/F KITCHEN & 2 BATHRMS & STAIR REMOVED AND REPLACE WITH POWDER RM & SUNROOM,NEW STAIR TO THE NEW 3/F; CONVERT PART OF (E) ATTIC TO NEW 3/F BEDRM, BATH & DECK",,
"12/30/2016","2016-016626PRJ","Project Profile (PRJ)","1939 46TH AVE","Closed","REDO DRIVEWAY APPROACH. SAME (E) LAYOUT. NOT CHANGE TO CURBCUT",,
"12/30/2016","2016-016627PRL","Project Light (PRL)","393 ARLINGTON ST","Closed","Rooms down, direct access, full bath, no wet bar, limited visual connection.  Add deck less than 3' tall at rear.",,
"12/30/2016","2016-016628PRJ","Project Profile (PRJ)","80 LAGUNITAS DR","Under Review","VERTICAL ADDITION OF UPPER LEVER AT (E) SECOND FLOOR FOR NEW MASTER SUITE.",,
"12/30/2016","2016-016629PRJ","Project Profile (PRJ)","120 28TH ST","Closed","ADDITION OF (N) DECK AND STAIRS.",,
"12/30/2016","2016-016635PRJ","Project Profile (PRJ)","910 PRESIDIO AVE","Closed","ADD UNIT PER ORD 162-16. CONVERT EXISTING STORAGE SPACE AT REAR TO ACCESSORY DWELLING UNIT (ADU). ALL WORK WITHIN EXISTING BUILDING ENVELOPE. THE ADU WILL HAVE 1 KITCHEN & 1 FULL BATHROOM.",,
"12/30/2016","2016-016636PRL","Project Light (PRL)","34 MADRONE AVE","Closed","Modification of previously approved permit #201511132592 to change site-work, modify interior partitions without changes to exterior facades, and the addition of a transom above previously approved doorway on side of home, not visible from the public right-of-way.",,
"12/30/2016","2016-016637PRJ","Project Profile (PRJ)","4640 BALBOA ST","Under Review","ADDITIONAL OF DWELLING UNITS PER PLANNING ORDINANCE NO 162-16. REFER TO APP#201612195267- CONVER (E) STORAGE SPACE @ 2ND FLR TO ONE NEW UNIT, CONVERT (e) GARAGE AND CRAWL SPACE TO 7 SEPARATE UNITS.",,
"12/30/2016","2016-016638PRL","Project Light (PRL)","381 SAN LEANDRO WAY","Closed","OTC approval for interior renovation of basement and 1st floor bathroom, replacement of rear deck with rear stair, approx. 33 cu. ft. of excavation for increased ceiling height at basement, replacement of (4) windows at basement, (1) window at 1st floor (all new windows are clad/wood).",,
"12/30/2016","2016-016639PRJ","Project Profile (PRJ)","840 UNION ST","Under Review","EXPANSION OF AN EXISTING ROOF DECK.",,
"12/30/2016","2016-016641PRJ","Project Profile (PRJ)","7070 CALIFORNIA ST","Closed","RENOVATION TO CLASSROM WING,& PURPOSE LUNCHROOM WITH SMALL FACULTY LOUGH ADDITION. NEW SITE IMPROVEMENTS TO CAMPUS ENTRY, LOWER SCHOOL COURTYARDS, FACULTY COURT YARD & UPPER COURTYARD.",,
"12/30/2016","2016-016643PRJ","Project Profile (PRJ)","245 LEAVENWORTH ST","Under Review","SITE PERMIT TO ADD TWO NEW ACCESSORY DWELLING UNITS TO BASEMENT LEVEL PER ORDINANCE 162-16. ** MAHER: N/A **",,
"12/30/2016","2016-016644PRL","Project Light (PRL)","35 MONTECITO AVE","Closed","Existing stairs from garage are too sharp and narrow and leads to fall. In proposed plan existing staircase is removed and the area is used to build a bathroom. Access from garage is provided through side yard.",,
"12/30/2016","2016-016645PRJ","Project Profile (PRJ)","324 ELSIE ST","Closed","A 3 STORY REAR ADDITION WITH DECK.",,
"12/30/2016","2016-016646PRL","Project Light (PRL)","209 BEVERLY ST","Closed","Conversion of storage space at ground floor (behind garage) to habitable space including (n) living room and (n) full bathroom. Only interior access to new habitable space. No exterior changes proposed.",,
"12/30/2016","2016-016647PRL","Project Light (PRL)","3865 19th Street","Closed","Interior alterations within existing ground floor storage space, and new windows/doors at the rearof the existing two-family dwelling. No exterior expansion.",,
"12/30/2016","2016-016648ENF","Enforcement (ENF)","58 EDITH ST","Closed - Abated","Illegal Short-Term Rentals (3 units) on Airbnb. Violation abated/resolved. Portion of listings converted to minimum 30 day stays (therefore complying) and penalty paid.",,
"12/30/2016","2016-016649PRL","Project Light (PRL)","1219 Lawton St","Closed","OTC rooms down approval of first floor remodel to include new family room, full bath and laundry sink in garage.  Cosmetic fill-in of existing light well on second floor east elevation.",,
"12/30/2016","2016-016661PRJ","Project Profile (PRJ)","1064 DOLORES ST","Under Review","ADDITION OF (5) DWELLING UNITS WITHIN THE (E) BUILDING ENVELOPE PER ORDINANCE# 162-16.",,
"12/30/2016","2016-016662PRJ","Project Profile (PRJ)","1304 FLORIDA ST","Under Review","INTERIOR RENOVATION & EXPANSION. (N) FLOOR @ REAR W/ BEDROOM & BATHROOM; EXPANDED GROUND FLOOR W/ (N) BEDROOM & BATHROOM. INTERIOR MAIN FLOOR W/ (N) KITCHEN & RENOVATED BATHROOM.",,
"12/30/2016","2016-016663PRJ","Project Profile (PRJ)","1385 GREENWICH ST","Under Review","ADD (1) ADU PER ORDINANCE #162-16",,
"12/30/2016","2016-016665GEN","Generic (GEN)","1984.358X","Closed - Informational","Record Request",,
"12/30/2016","2016-016667PRJ","Project Profile (PRJ)","839 LEAVENWORTH ST","Under Review","SITE PERMIT TO ADD TWO NEW ACCESSORY DWELLING UNITS TO THE REAR PORTION OF BASEMENT PER ORDINANCE NO.162-16. ** MAHER: N/A **",,
"12/30/2016","2016-016668PRL","Project Light (PRL)","265 CASTENADA AVE","Closed","Interior renovations to reconfigure the kitchen, 3rd floor bedrooms and bath, add new 3rd floor bath, 1st floor bedroom and bath, infill under existing inhabitable space one floor only, and replace windows on rear elevation",,
"12/30/2016","2016-016669PRL","Project Light (PRL)","2095 - 46th Ave.","Closed","Replace 2 windows south facing on street with windows.",,
"12/30/2016","2016-016670PRL","Project Light (PRL)","1461 - 14th Avenue","Closed","Interior remodel of ground floor and expand exterior deck, no higher than 8 feet.Single-family dwelling.",,
"12/30/2016","2016-016671PRL","Project Light (PRL)","1361 CHURCH ST","Closed","interior addition of a wood burning pizza oven in a new restaurant in an existing restaurant use",,
"12/30/2016","2017-000094PPA","Preliminary Project Assessment (PPA)","856 CAPP ST","Closed - Informational","The proposal is to convert the existing church into seven new residential units, including the demolition of a non-historic one-story shed addition at the rear of the church building and the construction of a four-story addition that will be set back 15 feet from the front facade; the demolition of a non-historic shed; and the rehabilitation of the church facade and historic earthquake shack, which will be retained as an accessory structure in the rear yard.",,
"12/30/2016","2017-000104PPA","Preliminary Project Assessment (PPA)","1324-1326 POWELL ST","Closed - Informational","Proposed new construction of a six-story building at 1324-1326 Powell St. The proposed design includes one commercial space, 14 residential units & shared open space.",,
"12/29/2016","2014-000455EEC","Categorical Exemption (EEC)","1208 & 1212 Egbert Avenue","Closed - CEQA Clearance Issued","New 3 Story Residential Building",,
"12/29/2016","2015-012217VAR","Variance (VAR)","3130 WEBSTER ST","Accepted","Variance from the exposure requirements to permit the addition of an accessory unit within the existing building envelope.",,
"12/29/2016","2016-016555PRL","Project Light (PRL)","180 MONTGOMERY ST","Closed","sign copy change for 4 existing Bank of the West wall signs (2 are 7 sf non-illum plaques and 2 are 154 sf routed-out metal with push-thru letters) due to rebranding",,
"12/29/2016","2016-016556PRJ","Project Profile (PRJ)","1332 DIAMOND ST","Under Review","REAR ADDITION TO REPLACE & EXPAND UPON THE (E) REAR MOST BLDG PORTION. THE ADDITION IS PRIMARILY 2 STORIES TALL, BUT A PORTION WILL BE 2 1/2 STORIES FOR A STAIR TO THE (E) ELEVATED YARD LEVEL. INTERIOR REMODELING, REMODEL OF THE FACADE, AND FILLING IN OF A PORTION OF THE EXISTING ENTRY PORTAL. 86 SF",,
"12/29/2016","2016-016557PRJ","Project Profile (PRJ)","1737 POST ST","Closed","TENANT IMPROVE FOR (N) RESTAURANT. (N) SERVICE COUNTER. INSTALL (N) SINKS, INSTALL (N) GUARRY TITLE FLOORING. INSTALL (N) SECURITY DOOR. CHANGE OF USE TO RESTAURANT.",,
"12/29/2016","2016-016558PRL","Project Light (PRL)","325 Newhall Street","Closed","Tenant improvement of existing warehouse building, includes interior demolition, construction of new partitions, new mezzanine, 1 new door, replace 3 existing doors, 2 new windows, 2 new restrooms, electrical, mechanical, new kitchen and plumbing, and new fire sprinkler system.",,
"12/29/2016","2016-016559PRJ","Project Profile (PRJ)","1520 SANTIAGO ST","Closed","INFILL OF (E) EAST ENTRY COURT/LIGHTWELL W/SKYLIGHT ON ROOF, PARTIAL INFILL & EXPANSION OF (E)PORTAL FOR PROPOSED ENTRY HALL, REPLACEMENT FINISH ON (E) ENTRY STAIR, REPLACEMENT GUARDRAIL & HANDRAIL AT (E) ENTRY STAIR, REMOVAL OF KITCHEN WINDOW & REPLACEMENT WALL OPENING ADJACENT TO(E) ENTRY DOOR.",,
"12/29/2016","2016-016560PRL","Project Light (PRL)","1151 YORK ST","Closed","Window replacement. One window visible to the street. No change in size.",,
"12/29/2016","2016-016561PRL","Project Light (PRL)","552 JONES ST","Closed","Concrete repair to the upper portion of the exterior south wall due to spawling. per NOV #201647341",,
"12/29/2016","2016-016562PRL","Project Light (PRL)","4024 LAWTON ST","Closed","First Floor Alteration: to add one family room, a study and a full bathroom. Second Floor: add a full bathroom and remodel kitchen.",,
"12/29/2016","2016-016563PRJ","Project Profile (PRJ)","3645 LAWTON ST","Closed","CHANGE OF USE FROM SPECIALTY GROCERY STORE W/TYPE 21 ALCOHOL OFF PREMISE SALE TO BAT LIMITED FOOD PREPARATION W/TYPE 23 ALCOHOL ON PREMISE SALES. NO WORK TO BE DONE. (To abate Enforcement Case No. 2016-015013ENF)",,
"12/29/2016","2016-016564PRL","Project Light (PRL)","465 BARTLETT ST","Closed","interior remodel and rebuilding conforming 3-story pop-out addition at the rear. install and replace 11 windows at the rear and side elevations. partial seismic upgrade at basement level.",,
"12/29/2016","2016-016565PRL","Project Light (PRL)","140 Jules Avenue","Closed","Interior alterations including ground floor (meets rooms-down: direct access, limited spatial/visual connection, full bath), and new rear deck and stairs (less than 10' above grade; within buildable area of the lot).",,
"12/29/2016","2016-016566PRJ","Project Profile (PRJ)","3441-3443 26TH ST","Application Accepted","MODIFICATION TO FACADE/TO LEGALIZE (E) FACADE. MODIFICATION TO (E) FACADE, ADDITION OF DOOR & RESTORATION OF BASE & SIDE PANELING. SEE APPLN #201602109217 (CHANGE OF USE TO GROUND FLOOR TO RESIDENTIAL)",,
"12/29/2016","2016-016567PRJ","Project Profile (PRJ)","70 LURLINE ST","Closed","CREATE AN 8'X13' 2-STORY SIDEYARD INFILL ADDITION TO AN (E) 2-STORY SINGLE FAMILY HOME. 1ST FL OF ADDITION IS FOR LAUNDRY AREA. 2ND FL OF ADDITION FOR MASTER BEDROOM EXPANSION. REMODEL STORAGE ON 1ST FL INTO OFFICE, GUEST ROOM & BATH.",,
"12/29/2016","2016-016568PRJ","Project Profile (PRJ)","1151 PLYMOUTH AVE","Open","convert first floor family room and garage to ground floor 2nd unit (including 2 bedrooms, living, kitchen) remodel 2nd floor, convert garage door to new units, change size and install new windows at the front and rear. all new windows to be wood clad  sliders. new unit to be market rate- meets code requirements.",,
"12/29/2016","2016-016570PRJ","Project Profile (PRJ)","626-630A 9th Ave - ADU (1)","Withdrawn","Add one Accessory Dwelling Unit (ADU) on the ground floor of the existing single-family two-story rear structure (630A) by converting existing storage space, within the existing building envelope. Ord. 162-16 / Planning Code Section 207(c)(4) excludes the ability to add Accessory Dwelling Units (ADUs) in any building “where a tenant has been evicted pursuant to Administrative Code Section 37.9(a)(9) through 37.9(a)(14) under a notice of eviction served within 10 years prior to filing the application for a building permit to construct the ADU or where a tenant has been evicted pursuant to Administrative Code Section 37.9(a)(8) under a notice of eviction served within five years prior to filing the application for a building permit to construct the ADU.” However, an eviction occurred in a different (front) building on the same property.",,
"12/29/2016","2016-016571ENF","Enforcement (ENF)","2770 21st Street","Pending Review","Potential illegal short-term rental. OSTR staff notes agent for monthly rental associated with prior illegal STRs throughout City. https://hotpads.com/2770-21st-st-san-francisco-ca-94110-tbrhtq/pad-for-sublet  However, current Airbnb listing is for minimum 30 day stays: https://www.airbnb.com/rooms/11493791",,
"12/29/2016","2016-016572PRJ","Project Profile (PRJ)","284 DOUGLASS ST","Under Review","3RD STORY & REAR YARD ADDITION. TOTAL 4 BEDROOMS & 4.5 BATHS. INTERIOR REMODEL. NEW DECK @ REAR YARD. REPLACE (E) WINDOWS & (N) WINDOWS AT REAR.",,
"12/29/2016","2016-016573PRJ","Project Profile (PRJ)","126 DIVISADERO ST","Under Review","DEMOLISH (E) 2 STORY DECK. BUILD REPLACEMENT 2 STORY DECK & FOUNDATION REPAIR.",,
"12/29/2016","2016-016574PRJ","Project Profile (PRJ)","255 DOLORES ST","Closed","ADDITION OF (2) UNITS @ REAR OF 1ST FL IN CONJUNCTION W/ SOFT STORY RETROFIT PERMIT APPLN #201610180562 PER ORD #162-16.",,
"12/29/2016","2016-016575PRL","Project Light (PRL)","31 RUTH ST","Closed","rear deck under 10 ft high w/in buildable area",,
"12/29/2016","2016-016576PRL","Project Light (PRL)","1601 Ortega","Closed","Ground floor and 2nd floor remodel.  Interior work includes 2 bedrooms, 2 half baths and living area at ground level.",,
"12/29/2016","2016-016578COA","Certificate of Appropriateness (COA)","925 GUERRERO ST","Closed - Approved","Administrative Certificate of Appropriateness: ADV PROGRAM IN MANDATORY SEISMIC RETROFIT BLDG PER ORD. 162-16. PROPOSE 2 ADD'L DWG UNITS ON BASEMENT LEVEL AT REAR OF BLDG. REPLACE (E)WINDOWS AT REAR OF BLDG, ADD BATHROOM & KITCHENS, REMODEL OF DOORS & FINISHES",,
"12/29/2016","2016-016578PRJ","Project Profile (PRJ)","925 GUERRERO ST","Closed","ADV PROGRAM IN MANDATORY SEISMIC RETROFIT BLDG PER ORD. 162-16. PROPOSE 2 ADD'L DWG UNITS ON BASEMENT LEVEL AT REAR OF BLDG. REPLACE (E)WINDOWS AT REAR OF BLDG, ADD BATHROOM & KITCHENS, REMODEL OF DOORS & FINISHES",,
"12/29/2016","2016-016580PRL","Project Light (PRL)","19 Newman Street","Closed","Replace existing Douglas Fir front stairs in-kind. Replace existing cedar shingles on front façade and existing roof eyebrow in-kind. No other work. Categorical Exemption determination issued for same scope of work under building permit No. 2014-01176571.",,
"12/29/2016","2016-016581PRJ","Project Profile (PRJ)","439 16TH AVE","Application Accepted","ADD 479 SQFT ON THE 1ST FLR THAT WILL INCLUDE (N)BATH & LAUNDRY & FAMILY RM. ENCLOSE GARAGE & RELOCATE OF FURNACE AND WATER HEATER (TANKLESS) & 298 SQ FT ADDITION IN THE MAIN FLR THAT WILL INCLUDE RELOCATION OF KITCHEN/BATH; (N)DECK",,
"12/29/2016","2016-016582PRL","Project Light (PRL)","20 Taraval","Closed","Wheelchair accessible bathroom in basement.  ADA issue.",,
"12/29/2016","2016-016583PRL","Project Light (PRL)","1555 MCALLISTER ST","Closed","New garage with 8'-0"" garage door. No other exterior alterations.",,
"12/29/2016","2016-016584ENV","Environmental (ENV)","SFMTA - Palou Ave Streetscape Improvement Project and Quesada Ave Bike Lanes","Closed - CEQA Clearance Issued","The San Francisco Municipal Transportation Agency (SFMTA) proposes the Palou Avenue Streetscape Improvement Project and Quesada Avenue Bike Lanes (proposed project). There are two components of the proposed project. The first is the Palou Avenue Streetscape Improvement Project on Palou Avenue between Rankin and Jennings. The Palou Avenue Streetscape Improvement Project would remove mixed-flow travel lanes between Newhall and Keith streets, change the color of the curbs (i.e., daylighting and establishment of one blue zone), transit stop consolidation for the 23-Monterey and 24-Divisadero Muni bus lines and removal of sharrows from Palou Avenue. The second component of theproposed project would establish a Class II bikeway on a six-block stretch of Quesada Street between Third and Griffith streets. The bikeway would require the removal of five on-street parking spaces at Quesada Avenue and Hawes Street. Project construction of the Palou Avenue Streetscape Improvement Project, which would occur concurrently with the Palou Avenue Complete Streets Project (see “Planned Projects,” page 4), is anticipated to last approximately 1 year. Construction of the Quesada Avenue Bike Lanes is anticipated to last about 30 days. There is no excavation required.",,
"12/29/2016","2016-016584ETM","Environmental Time and Materials (ETM)","SFMTA - Palou Ave Streetscape Improvement Project and Quesada Ave Bike Lanes","Closed - CEQA Clearance Issued","The San Francisco Municipal Transportation Agency (SFMTA) proposes the Palou Avenue Streetscape Improvement Project and Quesada Avenue Bike Lanes (proposed project). There are two components of the proposed project. The first is the Palou Avenue Streetscape Improvement Project on Palou Avenue between Rankin and Jennings. The Palou Avenue Streetscape Improvement Project would remove mixed-flow travel lanes between Newhall and Keith streets, change the color of the curbs (i.e., daylighting and establishment of one blue zone), transit stop consolidation for the 23-Monterey and 24-Divisadero Muni bus lines and removal of sharrows from Palou Avenue. The second component of theproposed project would establish a Class II bikeway on a six-block stretch of Quesada Street between Third and Griffith streets. The bikeway would require the removal of five on-street parking spaces at Quesada Avenue and Hawes Street. Project construction of the Palou Avenue Streetscape Improvement Project, which would occur concurrently with the Palou Avenue Complete Streets Project (see “Planned Projects,” page 4), is anticipated to last approximately 1 year. Construction of the Quesada Avenue Bike Lanes is anticipated to last about 30 days. There is no excavation required.",,
"12/29/2016","2016-016586PRJ","Project Profile (PRJ)","555 OFARRELL ST","Under Review","ADD 479 SQFT ON THE 1ST FLR THAT WILL INCLUDE (N)BATH & LAUNDRY & FAMILY RM. ENCLOSE GARAGE & RELOCATE OF FURNACE AND WATER HEATER (TANKLESS) & 298 SQ FT ADDITION IN THE MAIN FLR THAT WILL INCLUDE RELOCATION OF KITCHEN/BATH; (N)DECK",,
"12/29/2016","2016-016587PRL","Project Light (PRL)","2867 SAN BRUNO AVE","Closed","Approved BPA for interior tenant improvement associated with (N) salon use (Personal Service Use) on ground-floor of newly-constructed building and (N) awning.",,
"12/29/2016","2016-016588ENF","Enforcement (ENF)","333 7th Street | Illegal Short-Term Rentals","Closed - No Violation","333 7th Street | Illegal Short-Term Rentals on Startupbed.com (former residential treatment/addiction care facilty / industrial building). Potential illegal change of use.  NO VIOLATION. Website shows the wrong location for potentially illegal short-term rentals. Facility not in use for short-term rentals or lodging. CLOSED/RESOLVED.",,
"12/29/2016","2016-016592CUA","Conditional Use Authorization (CUA)","MOHCD - Parking Lot","On Hold","Change of use from a vacant lot to a commercial surface parking lot associated with the adjacent Church (for Sunday use only).",,
"12/29/2016","2016-016592PRJ","Project Profile (PRJ)",,"Open","Change of use from a vacant lot to a commercial surface parking lot associated with the adjacent Church (for Sunday use only).",,
"12/29/2016","2016-016594PRL","Project Light (PRL)","155 SAN ALESO AVE","Closed","Minor interior alterations, under 75% demo. Replace windows on secondary façade: 8 wood to aluminum clad wood; 13 wood to fiberglass. Infill 4 windows total (three at south façade, one at rear). Balboa Terrace HOA approval letter included.",,
"12/29/2016","2016-016595CUA","Conditional Use Authorization (CUA)","3557 GEARY BLVD","Closed - Cancelled","Legalize Change of Use from acupuncture clinic to a massage therapy establishment.",,
"12/29/2016","2016-016595PRJ","Project Profile (PRJ)","3557 GEARY BLVD","Withdrawn","Legalize change of use from acupuncture clinic to a massage therapy establishment.",,
"12/29/2016","2016-016598PRL","Project Light (PRL)","232 Parker Ave.","Closed","Infill existing lightwell. Infill ground floor less than 10 fee under existing rear addition. New master bedroom and bath at ground floor.",,
"12/29/2016","2016-016601PRL","Project Light (PRL)","897 CLAYTON ST","Closed","Minor interior alterations, under 75% demo. Replace one large window at rear with three double hung windows with ogee lugs - no expansion of window opening. Remove chimney from roof.",,
"12/29/2016","2016-016602PRL","Project Light (PRL)","1371 47TH AVE","Closed","Install new garage door at the first floor in existing opening. Garage door to be 10 feet wide maximum with stucco filled in on either side of door to match existing.",,
"12/29/2016","2016-016603ENF","Enforcement (ENF)","2870A Harrison Street","Closed - Abated","Illegal short-term rental. Staff would note unit 2972 Harrison has an approved short-term rental registration certificate. Host tenants (other unit) appear to have moved out. Violation abated (resolved)..",,
"12/29/2016","2016-016664GEN","Generic (GEN)","2551 Mission Street - 2001.0845D","Open","Record Request",,
"12/29/2016","2017-000094ENV","Environmental (ENV)","856 CAPP ST","Open","The proposal is to convert the existing church into seven new residential units, including the demolition of a non-historic one-story shed addition at the rear of the church building and the construction of a four-story addition that will be set back 15 feet from the front facade; the demolition of a non-historic shed; and the rehabilitation of the church facade and historic earthquake shack, which will be retained as an accessory structure in the rear yard.",,
"12/28/2016","2016-009554ENV","Environmental (ENV)","27-29 Fountain Street","Under Review","Modification to existing three-story building containing two dwelling units. Horizontal rear addition, front facade alterations, including replacing stucco with wood siding and replacing existing front stair. Interior renovation, including relocation of lower unit to garden level.",,
"12/28/2016","2016-016084COA","Certificate of Appropriateness (COA)","1100 Sansome St - AT&T Mobility ROW WTS Facility","Approved","Installation and operation of wireless equipment and antennas for AT&T Mobility on Existing SFPUC Steel Light Pole.",,
"12/28/2016","2016-016481ECD","Community Plan-Determination (ECD)","2101A  Illinois Street","Closed - CEQA Clearance Issued","The proposed project is the demolition of three aboveground fuel storage tanks and three freestanding steel structures at the tank farm that was part of the former Potrero Power Plant (PPP).  Tank #4-21,903 sq. ft. approx 64 ft. tall; Tank#5-15,393 sq. ft. approx. 48 ft. tall; Tank #6-19,359 sq. ft. approx. 48 ft. tall.",,
"12/28/2016","2016-016481ENV","Environmental (ENV)","1201A  Illinois Street","Closed - CEQA Clearance Issued","The proposed project is the demolition of three aboveground fuel storage tanks and three freestanding steel structures at the tank farm that was part of the former Potrero Power Plant (PPP).  Tank #4-21,903 sq. ft. approx 64 ft. tall; Tank#5-15,393 sq. ft. approx. 48 ft. tall; Tank #6-19,359 sq. ft. approx. 48 ft. tall.",,
"12/28/2016","2016-016481PRJ","Project Profile (PRJ)","2101A  Illinois Street","Application Accepted","The proposed project is the demolition of three aboveground fuel storage tanks and three freestanding steel structures at the tank farm that was part of the former Potrero Power Plant (PPP).  Tank #4-21,903 sq. ft. approx 64 ft. tall; Tank#5-15,393 sq. ft. approx. 48 ft. tall; Tank #6-19,359 sq. ft. approx. 48 ft. tall.",,
