"Date","Record Number","Record Type","Project Name","Status","Description","Short Notes",
"06/16/2017","2017-007573PRL","Project Light (PRL)","130 CARL ST","Closed","Replace required 2nd means of egress stair at rear replacement of stair and landing only. Noother work.",,
"06/16/2017","2017-007574COA","Certificate of Appropriateness (COA)","235 GREENWICH ST","Accepted","Rebuild Deck in Previous location reconfigure stairs.",,
"06/16/2017","2017-007574PRJ","Project Profile (PRJ)","235 GREENWICH ST","Application Accepted","REBUILD DECK IN PREVIOUS LOCATION AND RECONFIGURE STAIRS.",,
"06/16/2017","2017-007576PRJ","Project Profile (PRJ)","28 TOLEDO WAY","Application Accepted","APPROXIMATELY 125 CUBIC YARDS OF SOIL WILL BE REMOVED AND REPLACED FROM THE BACKYWARD AT 28 TOLEDO WAY. THE YARD WILL BE RETURNED TO ORIGINAL GRADE AFTER EXCAVATION.",,
"06/16/2017","2017-007577MIS","Misc. Permits-REF (MIS)","622 Sacramento Street - American West Parking Services, Inc.","Pending Review","Police - Commercial Parking Lot",,
"06/16/2017","2017-007578PRJ","Project Profile (PRJ)","443 HOFFMAN AVE","Application Accepted","GROUND FLR REAR ADDITION- SINGLE STORY. KITCHEN APPLIANCE & CABINETRY REPLACE IN UNIT 443A.",,
"06/16/2017","2017-007580PRJ","Project Profile (PRJ)","3475 26TH ST","Application Accepted","UNITS IN EXISTING 6 UNITS BLDG. PROVIDE 2 NEW ADU PER ORD# 162-16. NEW STUDIO & 1-BR UNITS WITH KIT, BATH & SLEEPING RM. ALTER (E)GARAGE TO ADD 1 TANDEM PARKING SPACE TO (E)1-CAR GARAGE.",,
"06/16/2017","2017-007581PRL","Project Light (PRL)","1523 28th Ave","Closed","To comply with NOV 201785397.  Replace 5 windows in front of dwelling in kind.  Material is wood clad aluminum.  Category B",,
"06/16/2017","2017-007582PRJ","Project Profile (PRJ)","225 VASQUEZ AVE","Application Accepted","HORIZONTAL & VERTICAL ADDITION. RENOVATION OF AN EXISTING SINGLE FAMILY RESIDENCE. EXISTING ENVELOPE TO BE EXPANDED FROM 1550 SQ FT TO 3,910 SQ FT W/ GARAGE AT GRADE. EXPAND GARAGE, MASTER BEDROOM & NEW STORY FOR KITCHEN, DINING, LIVING & LIBRARY.",,
"06/16/2017","2017-007583PRL","Project Light (PRL)","3245 Quintara Street - Landscape Compliance","Closed","Remove concrete to comply with 20% landscaping",,
"06/16/2017","2017-007584PRL","Project Light (PRL)","2978 CLAY ST","Closed","Front yard landscaping",,
"06/16/2017","2017-007585PRL","Project Light (PRL)","505 SOUTH VAN NESS AVE","Closed","TO REFACE EXISTING FREE STANDING GAS STATION SIGN.  ALSO TO REPLACE LOGOS AND SIGN AT THE TWO EXISTING CANOPIES WITH CHEVRON LOGOS.  ALSO TO REPLACE FIVE WALL SINGS ON THE FOOD MART AND CAR WASH BUILDINGS.  ALL IN COMPLIANCE WITH UMU SIGN CONTROLS FOR GAS STATIONS.",,
"06/16/2017","2017-007586PRJ","Project Profile (PRJ)","3481 MISSION ST","Application Accepted","REVISE PREVIOUS PERMIT #201607213007 TO RECLASSIFY THE STANDARD UNIT ADDITION INTO ""ADDITION OF DWELLING UNIT"" PER ORDINCANCE #162-16.",,
"06/16/2017","2017-007587PRJ","Project Profile (PRJ)","646 CORBETT AVE","Application Accepted","SOFT STORY MANDATORY RETROFIT.",,
"06/16/2017","2017-007588PRJ","Project Profile (PRJ)","924 DIVISADERO ST","Application Accepted","ADD UNIT ORD 162-16. REF #2017-06-08-8863. ADDITION OF 1 NEW UNIT AT 1ST FLOOR PER ORD 162-16 NOT TO EXPAND BUILDING ENVELOPE OR AFFECT LIGHT/VENT TO OTHER UNITS. STUDIO: 1 KITCHEN, 1 BATHROOM, 1 OFFICE.",,
"06/16/2017","2017-007589PRJ","Project Profile (PRJ)","77 SENECA AVE","Application Accepted","LEGALIZE A 2ND DWELLING UNIT ON THE GROUND FLOOR OF AN (E) SINGLE FAMILY DWELLING PER UNIT LEGALIZATION ORD 43-14.",,
"06/16/2017","2017-007590PRJ","Project Profile (PRJ)","2722 42ND AVE","Application Accepted","CONSTRUCT 2 STORY REAR ADDITION. 2 NEW BEDROOMS, 1 BATHROOM @ 2ND FLOOR. 2 NEW BEDROOMS, 2 BATHROOMS, FAMILY ROOM, LAUNDRY ROOM AT GROUND FLOOR.",,
"06/16/2017","2017-007591PRJ","Project Profile (PRJ)","1235 21ST AVE","Application Accepted","REMOVE UNPERMITTED BAR SINK IN GAME ROOM & LEGALIZE LAUNDRY SINK IN STORAGE AT 1ST FLOOR.",,
"06/16/2017","2017-007592PRL","Project Light (PRL)","16 Loyola Terrace","Closed","This proposal is to alter the first and second floors of a three story, two unit building.  One of the units occupies the first two floors while the second one occupies the third floor.  This configuration will not change.  Just new walls will be put in while some will be taken out.  All less than 75% so no 311 necessary and no exterior alterations.",,
"06/16/2017","2017-007593PRL","Project Light (PRL)","900 Girard Street","Closed","interior alterations to an existing two story, one unit house.  new rooms to be put in.",,
"06/16/2017","2017-007594PRJ","Project Profile (PRJ)","1232 28TH AVE","Application Accepted","LEGALIZE PER ORDINANCE 43-14. (E) STUDIO APT @ GROUND FLR CONSISTING OF: KITCHEN, FULL BATH & LIVING ROOM.",,
"06/16/2017","2017-007595PRL","Project Light (PRL)","340 Fremont Street","Closed","the replacement of one entrance door in kind because of damage from wind a few weeks ago.",,
"06/16/2017","2017-007596PRL","Project Light (PRL)","49 Skyview","Closed","Add two bedrooms, bathroom and laundry room to ground floor floor in a single family dwelling.",,
"06/16/2017","2017-007597PRJ","Project Profile (PRJ)","157 MARVIEW WAY","Open","MEMORIALIZE THE REPLACEMENT OF THE EXTERIOR FACADE FROM (E) SIDING AND ALSO REPLACEMENT OF THE GARAGE DOOR WITH ROLL UP GLASS GARAGE DOOR.",,
"06/16/2017","2017-007598ENF","Enforcement (ENF)","3998 18th Street","Under Review","7 Eleven is operating 24 hours without Conditional Use Authorization",,
"06/16/2017","2017-007599ENF","Enforcement (ENF)","1380 Natoma Street","Under Review","illegal use of home garage as commercial business",,
"06/15/2017","2015-003953VAR","Variance (VAR)","1915 Diamond St","Pending Review","Variance request from the rear yard requirement to permit an addition an new construction of a new third unit above an existing garage structure facing Beacon Street.",,
"06/15/2017","2015-009053CUA","Conditional Use Authorization (CUA)","3601 LAWTON ST","Submitted","Conditional Use Authorization to permit the change of use, demolition and new construction of an existing gas station into a new 18-unit, 4 story building.",,
"06/15/2017","2016-005406ECD","Community Plan-Determination (ECD)","42 Otis Street","Open","Construction of a new five-story, mixed-use building to include a total of 24 single-room occupancy units on four floors with ground level retail space.",,
"06/15/2017","2016-010079CUA","Conditional Use Authorization (CUA)","3620 BUCHANAN ST","Accepted","Conditional Use Authorization application to permit the demolition of one of two existing structures on one shared parcel. Construction of a new 5-story mixed-use building with six dwelling units.",,
"06/15/2017","2016-010079VAR","Variance (VAR)","3620 Buchanan Street","Accepted","Variance from the rear yard requirement to permit the demolition of one of two existing structures on one shared parcel. Construction of a new 5-story mixed-use building  with six dwelling units.",,
"06/15/2017","2017-007484PRL","Project Light (PRL)","9 VEGA ST","Closed","Repair hand rail in-kind visible from street. No other work.",,
"06/15/2017","2017-007485PRL","Project Light (PRL)","4417 CABRILLO ST","Closed","Repair stucco in-kind visible from street. No other work.",,
"06/15/2017","2017-007486MIS","Misc. Permits-REF (MIS)","301 Main Street - T-Mobile ROW WTS Facility","Under Review","T-Mobile ROW WTS Facility: Installation and operation of wireless equipment and antennas for T-Mobile on Existing SFPUC Steel Light Pole.",,
"06/15/2017","2017-007487ENF","Enforcement (ENF)","106 Everson Street","Under Review","illegal short-term rental on Airbnb - http://www.airbnb.com/rooms/18694806",,
"06/15/2017","2017-007488PRL","Project Light (PRL)","39 BRODERICK ST","Closed","Replace street facing windows in-kind with double hung wood windows with ogee lugs. No other work.",,
"06/15/2017","2017-007489ENF","Enforcement (ENF)","2261 Filbert Street","Under Review","illegal short-term rental on Airbnb - https://www.airbnb.com/rooms/10878811",,
"06/15/2017","2017-007490PRL","Project Light (PRL)","1492 DOLORES ST","Closed","Replace street facing windows in-kind with wood casement and a wood picture window. No other work.",,
"06/15/2017","2017-007491PRL","Project Light (PRL)","255 CONNECTICUT ST","Closed","Rooms down for unit #255 limited spatial connection no direct access full bath permitted no wet bar. Interior wall demo less than 75%. No exterior work permitted.",,
"06/15/2017","2017-007493PRL","Project Light (PRL)","210 GRANT AVE","Closed","Interior tenant improvement to 4th floor suite 400 only. Demo of non-structural partitions and building of new non-structural partitions. No other interior work and no exterior work per this permit.",,
"06/15/2017","2017-007494PRJ","Project Profile (PRJ)","2852 MISSION ST","Application Accepted","Vertical addition and (N) deck at the rear of an existing SFH.",,
"06/15/2017","2017-007495PRV","Project Review Meetings (PRV)","570-572 Market Street","Accepted","570-572 Market Street (0291/013); Project Review meeting to obtain feedback on the feasibility of the proposed project.  Located on a through block site fronting Market Street and Sutter Streets, this project is proposed to include any of the following uses:  retail, office and/or hotel.",,
"06/15/2017","2017-007496PRL","Project Light (PRL)","2534 45TH AVE","Closed","1/F- ADD ONE NEW BEDROOM, ONE ENTERTAINMENT ROOM, ONE BATHROOM, ONE FAMILY ROOM AND ONE MECHANICAL ROOM. ADD NEW DECK AT REAR YARD. 2/F- CONVERT (E) BEDROOM INTO MASTER BATHROOM, RELOCATE (E) BATHROOM AND NEW POWDER ROOM, NEW FIREPLACE AND REMODEL KITCHEN.",,
"06/15/2017","2017-007497PRL","Project Light (PRL)","728 BROADWAY","Closed","Revision to permit no. 201405226473. Modification to existing non-historic recessed storefront entry. Recess entry door further (approximately 7'-6"") and install new compatible entry door and two ADA accessible push plates. No other work per this permit.",,
"06/15/2017","2017-007498PRL","Project Light (PRL)","2 WARREN DR","Closed","Replace 16 existing aluminum and wood windows and one exterior rear door on first and second floor in kind with aluminum wood clad windows and door repair stucco and siding at windows. Windows are visible from the street on three sides U factor for all windows not to exceed 0.32No BBNs or planning code complaints.",,
"06/15/2017","2017-007499PRV","Project Review Meetings (PRV)","3485-3487 Washington Street","Accepted","3485-3487 Washington Street (0996/048-049); Project Review meeting to discuss a Category A building, move garage door to center under bay, reconfigure front stair, add roof deck and family room at roof, unit relocation.  Applicant would like to have a Preservation and RDT planner attend the meeting.",,
"06/15/2017","2017-007500PRL","Project Light (PRL)","686 HURON AVE","Closed","Rooms down single family dwelling having direct access to the street with limited visual connection btw floors – at the ground floor – full baths are permitted – wet bars are not allowed. The single family dwelling will have a total of 4 bedrooms and shall be used as a single family dwelling. Per this application no units of any type will be removed in this case. No exterior changes are allowed at the visible façade per this application.No BBNs or planning code complaints.",,
"06/15/2017","2017-007501CUA","Conditional Use Authorization (CUA)","3629 TARAVAL ST","Under Review","Conditional Use Authorization to permit the addition of an outdoor activity area at the rear of an existing coffee shop d.b.a Andytown Café #2.",,
"06/15/2017","2017-007501PRJ","Project Profile (PRJ)","3629 TARAVAL ST","Application Accepted","Conditional Use Authorization to permit the addition of an outdoor activity area at the rear of an existing coffee shop d.b.a Andytown Café #2.",,
"06/15/2017","2017-007504PRL","Project Light (PRL)","965 ELIZABETH ST","Closed","Rooms down single family dwelling having direct access to the street with a total lack of connection btw floors – at the ground floor –1/2 baths are permitted – wet bars are not allowed. The single family dwelling shall be used as a single family dwelling. Per this application no units of any type will be removed in this case. No exterior changes are allowed at the visible façade per this application.No BBNs or planning code complaints.",,
"06/15/2017","2017-007505PRL","Project Light (PRL)","41 DORADO TER","Closed","Replace (retrofit) 5 original aluminum bronze- colored windows with 5 aluminum bronze colored new windows without altering size or location in this case. 2 sliding windows and 1 bay window consisting of three individual windows.No BBNs or planning code complaints.",,
"06/15/2017","2017-007507PRL","Project Light (PRL)","1526 44TH AVE","Closed","CONVERT PORTION OF (E) GARAGE TO HABITABLE SPACE; (2) NEW BEDROOMS, BATH & LAUNDRY ROOM, RELOCATE INTERIOR STAIR CONNECTING 1/F & 2/F, REMODEL BEDROOM, ADD NEW MASTERBATH.",,
"06/15/2017","2017-007508PRV","Project Review Meetings (PRV)","1455 Market Street","Pending Review","1455 Market Street (3507/040); Project Review meeting to discuss proposed windscreen design at sidewalk arcade along Market Street.",,
"06/15/2017","2017-007509PRL","Project Light (PRL)","46 PIERCE ST","Closed","Replace visible rear windows (18 total - 9 smaller transoms over 9 longer fixed/casement windows) in-kind. Same material (wood), same design, same operation(s), same size.",,
"06/15/2017","2017-007510PRL","Project Light (PRL)","505 HOWARD ST","Closed","adding signage to an existing free standing sign located on the property. Please note the signage is for at tenant located on the premises.  Please note meeting section 607 of the planning code.No BBNS or planning code complaints.",,
"06/15/2017","2017-007511PRL","Project Light (PRL)","1408 California Street - AT&T Mobility Macro WTS Facility Battery Removal","Under Review","AT&T MODIFICATION: REVISION TO 201606170279, REMOVE 1(E) STRING OF BATTERIES FROM (E) EQUIPMENT CABINET. MAHER NA",,
"06/15/2017","2017-007512PRJ","Project Profile (PRJ)","4330 GEARY BLVD","Application Accepted","ADMIN APPLICATION TO MEMORAILZE (E) FLOOR PLAN LAYOUT. REPLACING ALL GUEST ROOM DOOR WITH 20 MIN RATED DOOR AND FRONT ENTRY DOOR",,
"06/15/2017","2017-007513PRL","Project Light (PRL)","461 14TH ST","Closed","Replace 5 non-visible windows with new fiberglass windows (will be same design, size and operation).",,
"06/15/2017","2017-007514PRL","Project Light (PRL)","538 44th Avenue","Closed","Replace 1980 Era aluminum windows with hi eff aluminum clad wood casement windows.  5 windows to be replaced. two front facade doors to be replaced IN-KIND with wood doors in kind.  REPAIR/REPLACE STUCCO AS REQUIRED LIKE APPEARANCE.",,
"06/15/2017","2017-007515PRJ","Project Profile (PRJ)","345 26TH AVE","Application Accepted","PER UNIT LEGALIZEORDINANCE 43-14. (1) GROUND FLOOR DWELLING UNIT.",,
"06/15/2017","2017-007517PRJ","Project Profile (PRJ)","165 TARA ST","Application Accepted",,,
"06/15/2017","2017-007519PRJ","Project Profile (PRJ)","2990 20TH AVE","Application Accepted","ADD NEW UNIT. CONVERT PART OF GROUND FLOOR INTO 1 BEDROOM ACCESSORY DWELLING UNIT.",,
"06/15/2017","2017-007520PRL","Project Light (PRL)","1125 Jackson St","Closed","Replace sash in existing double hung window.  Wood sash in kind.",,
"06/15/2017","2017-007523PRL","Project Light (PRL)","2000 - 10th Avenue","Closed","Concrete retaining wall less than four feet in height -- replacement in kind.",,
"06/15/2017","2017-007525PRL","Project Light (PRL)","800 Indiana St","Closed","New 8.75 sf projecting sign",,
"06/15/2017","2017-007526PRJ","Project Profile (PRJ)","178 EUREKA ST","Application Accepted","REMODEL OF (E) STORY SINGLE-FAMILY RESIDENCE. REPLACING (E) BRICK FOUNDATION, REPLACING (E) EXTERIOR DOORS & WINDOWS W/ IN-KIND UNITS, REBUILDING REAR KITCHEN EXTENSION, ADDING ROOF DORMERS PER ZONING ADMIN BULLETIN NO.3 (DORMER WINDOWS). NO (N) WORK VISIBLE FROM STREET.",,
"06/15/2017","2017-007528PRJ","Project Profile (PRJ)","529 FLOOD AVE","Application Accepted","DWELLING UNIT LEGALIZATION.",,
"06/15/2017","2017-007529PRJ","Project Profile (PRJ)","464-466 ARKANSAS STREET","Application Accepted","DWELLING UNIT LEGALIZATION.",,
"06/15/2017","2017-007530PRL","Project Light (PRL)","537 MOULTRIE ST","Closed","Replace 2 street facing windows with double hung wood windows. NO other work.",,
"06/15/2017","2017-007531PRL","Project Light (PRL)","1935 California Street","Closed","New roof deck within the buildable area with new 42 inch glass guard rail. Remove existing stairs (not visible from the street) connecting second floor to third floor, and replace with spiral staircase to connect second floor to the new roof deck. No other work.",,
"06/15/2017","2017-007532PRJ","Project Profile (PRJ)","685 MARKET ST","Application Accepted","REPLACE NON-COMPLIANT, NON STRUCTURAL STEP WITH A COMPLIANT ADA RAMP & POWER OPERATED BUTTON",,
"06/15/2017","2017-007532PTA","Permit to Alter Major/Minor (PTA)","685 MARKET ST","Pending Review","Replace non-compliant, non-structural step with a complaint ADA accessible ramp.",,
"06/15/2017","2017-007534PRL","Project Light (PRL)","388 Beale Street","Closed","Install new iron fence, no taller than ten feet, in the rear of the property at the end of a private walkway. No other work.",,
"06/15/2017","2017-007535ENV","Environmental (ENV)","SFPUC - Geotech Investigation for Bay Corridor Transmission & Distribution Project","Open","The proposed Investigation involves a total of 14 pothole (excavation to determine the location of utility lines) locations along Illinois Street between 16th and 18th Streets. The dimension of each pothole trench is approximately 2 feet wide by 8 feet long by 7 feet deep.",,
"06/15/2017","2017-007536PRL","Project Light (PRL)","270 SANTA ROSA AVE","Closed","legalize unpermitted rear 8-ft-high deck and stair within buildable area",,
"06/15/2017","2017-007538PRL","Project Light (PRL)","1286 43rs Avenue","Closed","New habitable rooms and new full bathroom on the ground floor of a single-family home with indirect access to the street and limited visual connection. Infill light well on south side of building facing a blank neighboring wall (per photo provided by sponsor) and does not require 311 notification. Interior alterations include new partitions and locating ground floor access to the stairs leading to the second floor within the proposed habitable space.",,
"06/15/2017","2017-007539PRJ","Project Profile (PRJ)","1 CORBETT AVE","Application Accepted","DWELLING UNIT LEGALIZATION.",,
"06/15/2017","2017-007540PRJ","Project Profile (PRJ)","220 UPPER TER","Application Accepted","Interior and exterior modifications to an (E) SFH.",,
"06/15/2017","2017-007541PRL","Project Light (PRL)","1106 Bush Street","Closed","#202 - INTERIOR REMODEL, NON-STRUCTURAL ALTERATION, RELOCATE (E) KITCHEN, REMODEL EXISTING BEDROOMS, TOTAL 2 BEDROOMS.",,
"06/15/2017","2017-007542PPA","Preliminary Project Assessment (PPA)","635 FULTON ST","Under Review","THE PROJECT PROPOSES: (1) MOVING AN EXISTING MORTUARY STRUCTURE ON 635 FULTON STREET TO THE EASTERN EDGE OF ITS SITE ALONG THE PROPERTY LINE, (2) RELOCATING AN EXISTING RESIDENTIAL VICTORIAN BUILDING FROM 807 FRANKLIN TO 635 FULTON, AND(3) ADDING ONE-STORY AND REAR ADDITIONS TO BOTH THE MORTUARY AND THE VICTORIAN BUILDINGS. NEW DWELLING UNITS WILL BE ADDED TO BOTH STRUCTURES.The PPA was submitted on 6/15/17 and the 90 day deadline is 9/13/17.",,
"06/15/2017","2017-007543PRJ","Project Profile (PRJ)","345 26TH AVE","Application Accepted","ADD UNIT PER ORDINANCE NO.162-16. INSTALL (1) NEW GROUND FLOOR DWELLING UNIT . REFRENCE LEGALIZATION PERMIT#201705257650.",,
"06/15/2017","2017-007544PRJ","Project Profile (PRJ)","511 VALLEJO ST","Application Accepted","PROVIDE (1) ADU PER ORD. NO. 162-16. @ 1ST FLR IN AN (E) STORAGE RM. UNIT SHALL CONSIST OF A BATH, KITCHEN, LIVING/SLEEPING AREA. MODIFY (2) (E) WINDOWS INCLUDING (1) FOR EGRESS. PROPOSED UNIT COUNT WILL BE (7). A MANDATORY SEISMIC RETROFIT HAS BEEN FILED HAS BEEN FILED UNDER 2016-1027-1286.",,
"06/15/2017","2017-007545PRL","Project Light (PRL)","remodel units 4,5,6,7,8","Closed","1.) comply with 9871_ENF and separate units 4 and 8 - each now with independent cooking. 2.) interior remodel of units 4,5,6,7 and 8. no change to size or location of any unit. All units except 8 add bedrooms: 7 1br to 2 br; 6 2 to 3 br; 5 studio to 2 br; 4 2br to 3.",,
"06/15/2017","2017-007546PRJ","Project Profile (PRJ)","667 SAN JOSE AVE","Application Accepted","LEGALIZATION UNIT PER ORDINANCE 43-14.",,
"06/15/2017","2017-007547PRL","Project Light (PRL)","Unit 12","Closed","apartment 17 renovation: convert one bedroom to two bedroom plus den. No change to size or location of unit.",,
"06/15/2017","2017-007548PRJ","Project Profile (PRJ)","5125 MISSION ST","Application Accepted","CHANGE FROM LIMITED RESTAURANT TO FULL SERVICE RESTAURANT. NO WORK",,
"06/15/2017","2017-007549PRJ","Project Profile (PRJ)","1914 34TH AVE","Application Accepted","HORIZONTAL ADDITION, 2 STORY ADDITION: RECONFIGURE FLOOR PLAN LAY OUT. 2NF: 2 NEW BEDROOM, 2 NEW BATH, REMODEL EXISTING KITCHEN AND LIVING ROOM. G/F: ADD 2 NEW BEDROOM, 2 NEW BATH AND 1 NEW FAMILY ROOM",,
"06/15/2017","2017-007550GPR","General Plan Referral (GPR)","SFPUC Property Sale - 7484 Sheridan Road, Sunol - GP Referral","Under Review","Sale of Underutilized Property at 7484 Sheridan Road, Sunol California. This property is surplus to the SFPUC's utility needs and the SFPUC intends to sell this property ""as is.""",,
"06/15/2017","2017-007551PRL","Project Light (PRL)","234 EVELYN WAY","Closed","Modify existing deck and fence in rear yard to comply with NOV #201775432. Replace existing deck boards. Reduce deck in size by 29 s.f. Reduce height of fence to 6' along rear perimeter. Replace 14 feet of fencing on east property line with 42 inch guardrail.",,
"06/15/2017","2017-007552PRJ","Project Profile (PRJ)","2500 LEAVENWORTH ST","Application Accepted","Variance from the rear year yard requirement to permit  a full interior remodel of the existing 3 story building, including a rear addition at the lower level and expansion of the existing garage. Removal of the metal greenhouse window at the east elevation and raising of the current flat roof by 12 inches.",,
"06/15/2017","2017-007552VAR","Variance (VAR)","2500 LEAVENWORTH ST","Accepted","Variance from the rear year yard requirement to permit  a full interior remodel of the existing 3 story building, including a rear addition at the lower level and expansion of the existing garage. Removal of the metal greenhouse window at the east elevation and raising of the current flat roof by 12 inches.",,
"06/15/2017","2017-007553PRL","Project Light (PRL)","225 HARTFORD ST","Closed","Replace (E) skylight w/new, same size; non-publicly visible portion of the roof.",,
"06/15/2017","2017-007554ENF","Enforcement (ENF)","645 Stockton Street","Under Review","suspected illegal short-term rentals at 645 Stockton Street, Multi-Unit Short-Term Rentals",,
"06/14/2017","2015-005863TDM","Transportation Demand Management (TDM)","342-360 5th Street & 210-212 Clara Street","Accepted","Demolish existing three structures totaling 18,000 sf (50% office & 50% PDR) and construct a four to eight-story 45' to 85' tall mixed use building that would include 143,968 gsf for 128 dwelling units, 1,204 sf commercial/retail and 8,005 sf PDR uses. A proposed basement would provide 41 auto and 110 Class 1 bicycle spaces through curb-cut on Clara Street. Project includes eight parcels with a total area of 23,125 sf.",,
"06/14/2017","2015-018474DRM","Discretionary Review - Mandatory (DRM)","982 GREEN ST","Pending Review","Staff Initiated - Discretionary Review  to comply with 12728_ENF - 500 sq ft being added to moved door from left to right of house in a historic house built in 1800's",,
"06/14/2017","2016-010294COA-02","Certificate of Appropriateness (COA)","1088 SANSOME ST","Accepted","Window replacement on non visible secondary façade of non historic penthouse in a historic building.",,
"06/14/2017","2016-011786COA-03","Certificate of Appropriateness (COA)","1053 TENNESSEE ST","Accepted","This project proposes a rear addition to an existing 2 story house ""Main House"". Remodel of an existing detached deteriorated 1 story ""Cottage"" house.",,
"06/14/2017","2016-011786VAR","Variance (VAR)","1053 TENNESSEE ST","Accepted","Sponsor request Variance from front setback area, rear yard and exposure requirement.",,
"06/14/2017","2017-005881PCA","Plan Code Amendment-LEG (PCA)","Fulton Street Grocery Store Special Use District","Pending Review","Ordinance amending the Planning Code to allow a grocery store that may be defined as a formula retail use in the Fulton Street Grocery Store Special Use District, and adding criteria for approval; extending the duration of the controls; and making environmental findings, findings of consistency with the General Plan and the eight priority policies of Planning Code, Section 101.1, and findings of public necessity, convenience, and welfare under Planning Code, Section 302.",,
"06/14/2017","2017-007429PRL","Project Light (PRL)","456 OTSEGO AVE","Closed","N Family Room & Legalize Bathroom at Ground Floor, Voluntary Seismic Strengthening @ ground floor, Meets Rooms Down",,
"06/14/2017","2017-007430CUA","Conditional Use Authorization (CUA)","1360 JONES ST","Accepted","Dwelling Unit Merger application to authorize the merging of unit 1001 with unit 902 to create a four-bedroom 3,912 sqft apartment.",,
"06/14/2017","2017-007430PRJ","Project Profile (PRJ)","1360 JONES ST","Application Accepted","Conditional Use authorization application top permit a dwelling unit merger.",,
"06/14/2017","2017-007433PRL","Project Light (PRL)","2900 Baker Street","Closed","Horizontal addition and interior renovation of an (E) 3-story house. Ground floor: includes 1-story additions not toexceed the (E) bldg depth, as well as a 1-story deck. In addition, aluminum-clad wood window replacements on rearand south facades, as well as alterations to the existing roof deck within the same footprint.",,
"06/14/2017","2017-007434PRL","Project Light (PRL)","447 MINNA ST","Closed","Install new elevator on the interior and replace internal wood stairs in-kind. No changes to the exterior. Not a change of use.",,
"06/14/2017","2017-007435PRL","Project Light (PRL)","8 SPRINGFIELD DR","Closed","Revision to Approved permit 2016-0422-5514, Change proposed storage area under kitchen to new media room under kitchen, new connection stair to media room, relocate half bath door, excavation does not exceed 8' in depth, maintain 7'6' grade level head high on previously approved bay window",,
"06/14/2017","2017-007436PRJ","Project Profile (PRJ)","768 MARKET ST","Application Accepted","Replace (1) existing wall sign with new wall sign for ""Verizon"".",,
